"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:17:50.280,00:17:53.632,00:00:03.352,,,,"wait no because my room is in the your room is in the next hallway",
00:17:53.632,00:17:55.608,00:00:01.976,,,,"because this hallway only has one room",
00:17:56.705,00:17:56.995,00:00:00.290,,,"oh",,
00:17:57.803,00:18:00.168,00:00:02.365,,,,"you're like okay so like this is the hallway",
00:18:00.168,00:18:01.315,00:00:01.147,,,,"can you see me",
00:18:01.505,00:18:01.754,00:00:00.249,,,"yeah",,
00:18:01.804,00:18:04.338,00:00:02.534,,,,"it's like this is the room",
00:18:04.338,00:18:06.423,00:00:02.085,,,,"and then there's like a dividing door",
00:18:06.423,00:18:07.680,00:00:01.257,,,,"and then there's another hallway",
00:18:07.680,00:18:11.771,00:00:04.091,,,,"and then this hallway just has an entry way in the room",
00:18:11.771,00:18:11.951,00:00:00.180,,,"okay",,
00:18:11.991,00:18:13.866,00:00:01.875,,,,"math right wait I'm going to draw it",
00:18:13.866,00:18:17.089,00:00:03.223,,,,"let's see there that there",
00:18:17.129,00:18:19.147,00:00:02.018,,,,"like that�s where I am",
00:18:19.343,00:18:23.524,00:00:04.181,,,,"and then like that�s the rest of the hall",
00:18:20.130,00:18:20.785,00:00:00.655,,,"okay",,
00:18:23.316,00:18:26.059,00:00:02.743,,,"okay moving on",,
00:18:27.017,00:18:31.007,00:00:03.990,,,,"okay he told us we unlocked the bonus round or something",
00:18:31.007,00:18:31.716,00:00:00.709,,,"we're special",,
00:18:33.163,00:18:36.246,00:00:03.083,,,,"okay so would you subtract the u or four u",
00:18:36.246,00:18:37.233,00:00:00.987,,,,"or do you subtract",
00:18:37.233,00:18:39.049,00:00:01.816,,,,"or do you add forty-two or subtract eight",
00:18:39.169,00:18:41.024,00:00:01.855,,,"I'm subtracting the eight",,
00:18:41.272,00:18:42.426,00:00:01.154,,,,"good (inaudible)",
00:18:42.426,00:18:45.914,00:00:03.488,,,,"yeah sometimes I'm like no",
00:18:45.914,00:18:47.500,00:00:01.586,,,,"I don�t want to subtract the eight",
00:18:47.500,00:18:50.044,00:00:02.544,,,,"but today I am let's see",
00:18:50.503,00:18:51.391,00:00:00.888,,,,"so let's see",
00:18:51.391,00:19:03.514,00:00:12.123,,,,"negative of fifty plus u equals four u minus u minus u negative fifty",
00:19:04.382,00:19:10.005,00:00:05.623,,,,"wait I have to make sure you got it first",
00:19:10.005,00:19:10.947,00:00:00.942,,,,"three",
00:19:11.875,00:19:18.180,00:00:06.305,,,,"what what are you why are you why do you hate me just computers such a mean human",
00:19:18.490,00:19:21.852,00:00:03.362,,,"wait no undo go back",,
00:19:23.788,00:19:29.544,00:00:05.756,,,,"seventeen this will be negative sixteen and then one thirty",
00:19:31.194,00:19:32.010,00:00:00.816,,,,"wait hold",
00:19:31.211,00:19:35.301,00:00:04.090,,,"will be two thirds because sixteen times three is forty-eight yeah okay",,
00:19:33.194,00:19:39.751,00:00:06.557,,,,"yup yup there that is the answer",
