,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
251,8,1,00:27:27.400,00:27:29.380,00:00:01.980,,for this half for what
252,8,1,00:27:42.800,00:27:43.600,00:00:00.800,,thank you
253,8,1,00:27:56.200,00:27:59.200,00:00:03.000,yeah,
254,8,1,00:28:26.200,00:28:34.000,00:00:07.800,,you know what thirty minutes plus now we have twenty five minutes work
255,8,1,00:28:34.800,00:28:35.400,00:00:00.600,okay,
256,8,1,00:29:32.310,00:29:32.810,00:00:00.500,,ouch
257,8,1,00:29:36.200,00:29:39.100,00:00:02.900,,wait did he take my stylus again
258,8,1,00:29:41.600,00:29:46.000,00:00:04.400,,oh my gosh he's always taking my stylus
259,8,1,00:29:46.750,00:29:47.260,00:00:00.510,yeah,
260,8,1,00:30:11.900,00:30:13.700,00:00:01.800,,this is a big microphone
261,8,1,00:30:14.300,00:30:15.000,00:00:00.700,yeah,
262,8,1,00:30:24.000,00:30:25.180,00:00:01.180,testing,
263,8,1,00:31:45.000,00:31:45.700,00:00:00.700,,(inaudible)
264,8,1,00:31:48.000,00:31:55.900,00:00:07.900,yeah they have like a giant super computer connected to a terrible dumb monitors kind of funny,
265,8,1,00:32:30.100,00:32:32.100,00:00:02.000,,(inaudible)
266,8,1,00:32:33.600,00:32:34.000,00:00:00.400,yeah,
267,8,1,00:33:00.000,00:33:01.700,00:00:01.700,,pause filler isn't it
268,8,1,00:34:11.400,00:34:13.100,00:00:01.700,,they'll return five minutes
269,8,1,00:34:14.500,00:34:15.200,00:00:00.700,I don't know,
270,8,1,00:34:15.200,00:34:19.100,00:00:03.900,I don't think they're very good at telling time so far,
271,8,1,00:34:20.800,00:34:25.500,00:00:04.700,they don't exactly keep their promises,
272,8,1,00:34:27.200,00:34:29.100,00:00:01.900,,well here they come now
273,8,1,00:34:29.100,00:34:31.300,00:00:02.200,,I think they can hear us or see us
274,8,1,00:34:32.500,00:34:33.000,00:00:00.500,probably,
275,8,1,00:34:47.400,00:34:48.000,00:00:00.600,no,
276,8,1,00:34:58.500,00:35:00.000,00:00:01.500,,do we have to turn them in
277,8,1,00:35:14.700,00:35:18.700,00:00:04.000,all right so do we like try to just kind of finish all over or,
278,8,1,00:35:24.000,00:35:28.600,00:00:04.600,also for the pause filler questions that like it's not a whole number,
279,8,1,00:35:28.600,00:35:32.400,00:00:03.800,do you want me to like actually solve it,
280,8,1,00:35:32.400,00:35:34.560,00:00:02.160,or can I just leave it as,
281,8,1,00:35:46.200,00:35:49.700,00:00:03.500,okay cool okay so this is,
282,8,1,00:35:49.700,00:35:54.130,00:00:04.430,x equals twenty-five,
283,8,1,00:36:00.000,00:36:03.300,00:00:03.300,all right next problem,
284,8,1,00:36:05.400,00:36:09.100,00:00:03.700,okay so you have y subtract that,
285,8,1,00:36:09.100,00:36:13.920,00:00:04.820,or subtract it to twenty-two equals y,
286,8,1,00:36:20.000,00:36:23.170,00:00:03.170,one equals three over five,
287,8,1,00:36:32.300,00:36:37.000,00:00:04.700,okay so you have y equals negative five,
288,8,1,00:36:39.300,00:36:40.000,00:00:00.700,okay,
289,8,1,00:36:42.000,00:36:47.250,00:00:05.250,oops okay oh,
290,8,1,00:36:47.250,00:36:51.400,00:00:04.150,that's going okay so let's see,
291,8,1,00:36:52.400,00:36:53.700,00:00:01.300,oh no this is,
292,8,1,00:36:53.700,00:37:02.500,00:00:08.800,okay okay so subtract okay equals,
293,8,1,00:37:02.500,00:37:14.700,00:00:12.200,so k equals twenty-five okay yup,
294,8,1,00:37:21.900,00:37:23.100,00:00:01.200,,I wonder if we could (inaudible)
295,8,1,00:37:23.100,00:37:25.100,00:00:02.000,,would they let us leave early
296,8,1,00:37:25.400,00:37:27.600,00:00:02.200,yeah that's what I'm doing,
297,8,1,00:37:28.500,00:37:32.500,00:00:04.000,(inaudible) fifteen equals eight,
298,8,1,00:37:35.700,00:37:41.800,00:00:06.100,okay nineteen equals negative nine,
299,8,1,00:37:45.700,00:37:53.800,00:00:08.100,subtract (inaudible) equals negative nine,
300,8,1,00:37:58.700,00:38:00.100,00:00:01.400,,you're better thean me at man
301,8,1,00:38:02.000,00:38:07.600,00:00:05.600,I'm not accurate though okay sixty-two,
302,8,1,00:38:08.300,00:38:10.200,00:00:01.900,,I missed on that three in sports
303,8,1,00:38:11.400,00:38:14.700,00:00:03.300,in sports it's really good to be in sports,
304,8,1,00:38:16.100,00:38:18.300,00:00:02.200,,he's coming on your side now
305,8,1,00:38:19.400,00:38:20.600,00:00:01.200,,the white guy is coming over
306,8,1,00:38:21.300,00:38:21.980,00:00:00.680,okay,
307,8,1,00:38:24.000,00:38:24.600,00:00:00.600,so,
308,8,1,00:38:26.300,00:38:29.170,00:00:02.870,,a very slow one
309,8,1,00:38:33.170,00:38:34.900,00:00:01.730,,oh this one here
310,8,1,00:38:37.400,00:39:01.800,00:00:24.400,okay so you have sixty-two (inaudible) equals sixty-two over three ten x okay is equal okay next question,
311,8,1,00:39:04.300,00:39:07.000,00:00:02.700,add that yeah pause filler (inaudible),
312,8,1,00:40:07.000,00:40:08.900,00:00:01.900,last question over now,
313,8,1,00:40:10.500,00:40:11.000,00:00:00.500,,wow
314,8,1,00:40:11.200,00:40:11.800,00:00:00.600,add that,
315,8,1,00:40:12.200,00:40:13.400,00:00:01.200,subtract that,
316,8,1,00:40:14.000,00:40:19.400,00:00:05.400,y equals sixty equals forty (inaudible),
317,8,1,00:40:35.450,00:40:37.360,00:00:01.910,negative ten,
318,8,1,00:40:45.500,00:40:52.000,00:00:06.500,we have sixteen (inaudible),
319,8,1,00:40:53.000,00:40:57.400,00:00:04.400,okay so now we're going,
320,8,1,00:40:57.800,00:40:58.800,00:00:01.000,,oh can I get him
321,8,1,00:40:58.800,00:41:00.400,00:00:01.600,,because they're both before my side
322,8,1,00:41:38.000,00:41:38.800,00:00:00.800,yeah,
323,8,1,00:41:41.900,00:41:44.000,00:00:02.100,oh no I have not taken the question,
324,8,1,00:41:53.200,00:41:56.300,00:00:03.100,all right okay I'm so stressed out,
325,8,1,00:42:17.000,00:42:20.700,00:00:03.700,,yup do you think they check this or grade it check it
326,8,1,00:42:21.200,00:42:23.200,00:00:02.000,I have no idea,
327,8,1,00:42:25.600,00:42:30.300,00:00:04.700,I think that's probably not the point of the exercise,
328,8,1,00:42:30.300,00:42:32.100,00:00:01.800,but I don't know okay,
329,8,1,00:42:32.100,00:42:33.560,00:00:01.460,okay you subtract that,
330,8,1,00:42:56.250,00:43:00.000,00:00:03.750,so move it here to here (inaudible),
331,8,1,00:43:15.600,00:43:18.400,00:00:02.800,(inaudible) thirty-eight equals two,
332,8,1,00:43:39.000,00:43:41.130,00:00:02.130,(inaudible) equals ten (inaudible),
333,8,1,00:44:16.200,00:44:18.200,00:00:02.000,,this room is really spacious
